Designator,Mid X,Mid Y,Rotation,Layer
_35,66.04,-70.612,0.0,top
_34,66.548,-72.136,0.0,top
_33,68.58,-82.804,0.0,top
_32,72.136,-76.2,0.0,top
_31,58.42,-58.42,0.0,top
_30,51.308,-75.184,0.0,top
_29,66.548,-78.486,0.0,top
_28,67.564,-76.454,0.0,top
C10,70.678,-23.6245,180.0,top
C11,71.882,-20.5525,270.0,top
C12,69.088,-20.894,90.0,top
C13,23.695,-89.113,0.0,top
C14,35.0012,-8.0112,270.0,top
C15,49.215,-45.466,180.0,top
C16,46.482,-47.2225,90.0,top
C17,65.024,-40.071,270.0,top
C18,58.405,-51.637,270.0,top
C2,25.8,-77.738,90.0,top
C20,55.88,-55.0965,270.0,top
C201,25.405,-19.618,270.0,top
C202,78.42,-27.305,0.0,top
C203,77.282,-30.734,0.0,top
C204,76.454,-22.9285,90.0,top
C205,73.914,-33.0225,90.0,top
C206,51.562,-54.676,270.0,top
C207,59.7,-10.48,90.0,top
C208,82.87,-12.192,180.0,top
C209,72.832,-81.788,180.0,top
C21,58.486,-46.99,180.0,top
C210,87.75,-80.73,90.0,top
C211,90.917,-84.313,0.0,top
C212,61.383333,-93.516,90.0,top
C213,59.012667,-93.516,90.0,top
C214,56.642,-93.516,90.0,top
C215,63.754,-93.516,90.0,top
C216,62.974,-74.93,0.0,top
C217,65.024,-69.314,90.0,top
C218,65.024,-71.402,270.0,top
C219,65.024,-75.664,90.0,top
C22,53.66,-33.274,180.0,top
C220,65.024,-79.784,270.0,top
C221,63.01,-66.548,0.0,top
C222,55.618,-65.532,180.0,top
C223,49.512,-83.058,180.0,top
C224,55.364,-73.152,180.0,top
C225,73.025,-30.361,270.0,top
C226,73.906,-27.432,0.0,top
C227,85.098,-35.814,180.0,top
C228,72.136,-6.792,90.0,top
C229,47.498,-19.82,270.0,top
C23,45.974,-52.8535,90.0,top
C231,69.596,-6.792,90.0,top
C233,37.592,-2.86,270.0,top
C234,22.8092,-64.107,90.0,top
